,idGame,nWeekHome,Date,year,IdHomeTeam,FTG_asH,FT_against_H,FT_RESULT,HTG_asH,HT_against_H,HT_RESULT,Referee,Shoot_asH,Shoot_against_H,ShootTarget_asH,ShootTarget_against_H,Fouls_asH,Fouls_against_H,Corner_asH,Corner_against_H,YellowC_asH,YellowC_against_H,RedC_asH,RedC_againts_H,Shoot_asH_last_3,Shoot_asH_last_6,Shoot_asH_last_10,Shoot_asH_last_infinity,ShootTarget_asH_last_3,ShootTarget_asH_last_6,ShootTarget_asH_last_10,ShootTarget_asH_last_infinity,Fouls_asH_last_3,Fouls_asH_last_6,Fouls_asH_last_10,Fouls_asH_last_infinity,Corner_asH_last_3,Corner_asH_last_6,Corner_asH_last_10,Corner_asH_last_infinity,FTG_asH_last_3,FTG_asH_last_6,FTG_asH_last_10,FTG_asH_last_infinity,HTG_asH_last_3,HTG_asH_last_6,HTG_asH_last_10,HTG_asH_last_infinity,YellowC_asH_last_3,YellowC_asH_last_6,YellowC_asH_last_10,YellowC_asH_last_infinity,RedC_asH_last_3,RedC_asH_last_6,RedC_asH_last_10,RedC_asH_last_infinity,FT_against_H_last_3,FT_against_H_last_6,FT_against_H_last_10,FT_against_H_last_infinity,HT_against_H_last_3,HT_against_H_last_6,HT_against_H_last_10,HT_against_H_last_infinity,Shoot_against_H_last_3,Shoot_against_H_last_6,Shoot_against_H_last_10,Shoot_against_H_last_infinity,ShootTarget_against_H_last_3,ShootTarget_against_H_last_6,ShootTarget_against_H_last_10,ShootTarget_against_H_last_infinity,Fouls_against_H_last_3,Fouls_against_H_last_6,Fouls_against_H_last_10,Fouls_against_H_last_infinity,Corner_against_H_last_3,Corner_against_H_last_6,Corner_against_H_last_10,Corner_against_H_last_infinity,RedC_againts_H_last_3,RedC_againts_H_last_6,RedC_againts_H_last_10,RedC_againts_H_last_infinity,YellowC_against_H_last_3,YellowC_against_H_last_6,YellowC_against_H_last_10,YellowC_against_H_last_infinity
0,Arsenal_Aston Villa_2006,1,2006-08-19,2006,0,1,1,Draw,0,0,Draw,G Poll,19,5,11,3,10,19,18,1,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
1,Reading_Middlesbrough_2006,1,2006-08-19,2006,28,3,2,Winn,2,2,Draw,M Halsey,14,7,9,5,8,15,8,2,1,3,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
2,Sheffield United_Liverpool_2006,1,2006-08-19,2006,29,1,1,Draw,0,0,Draw,R Styles,5,12,3,7,10,16,0,12,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
3,Portsmouth_Blackburn_2006,1,2006-08-19,2006,26,3,0,Winn,1,0,Winn,A Wiley,21,9,16,7,20,17,6,2,2,1,0,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
4,Bolton_Tottenham_2006,1,2006-08-19,2006,5,2,0,Winn,2,0,Winn,P Dowd,8,9,6,6,19,22,6,3,0,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
5,Everton_Watford_2006,1,2006-08-19,2006,14,2,1,Winn,1,0,Winn,P Walton,6,12,2,8,12,13,0,6,2,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
6,Newcastle_Wigan_2006,1,2006-08-19,2006,24,2,1,Winn,1,0,Winn,M Atkinson,9,14,8,9,17,20,4,11,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
7,West Ham_Charlton_2006,1,2006-08-19,2006,37,3,1,Winn,0,1,Lost,H Webb,16,4,5,2,14,14,6,0,2,2,0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
8,Chelsea_Man City_2006,1,2006-08-20,2006,11,3,0,Winn,2,0,Winn,S Bennett,10,5,4,2,7,15,5,2,1,3,0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
9,Man United_Fulham_2006,1,2006-08-20,2006,22,5,1,Winn,4,1,Winn,A Marriner,15,12,7,8,14,20,5,2,1,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
10,Tottenham_Sheffield United_2006,1,2006-08-22,2006,34,2,0,Winn,2,0,Winn,P Walton,18,6,13,3,5,9,6,4,0,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
11,Watford_West Ham_2006,1,2006-08-22,2006,35,1,1,Draw,0,0,Draw,M Atkinson,11,8,4,4,12,12,5,1,0,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
12,Charlton_Man United_2006,1,2006-08-23,2006,10,0,3,Lost,0,0,Draw,C Foy,8,21,2,11,14,11,4,11,1,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
13,Blackburn_Everton_2006,1,2006-08-23,2006,3,1,1,Draw,0,0,Draw,U Rennie,10,10,5,4,22,20,5,3,4,3,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
14,Middlesbrough_Chelsea_2006,1,2006-08-23,2006,23,2,1,Winn,0,1,Lost,H Webb,9,8,2,5,15,7,3,3,2,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
15,Aston Villa_Reading_2006,1,2006-08-23,2006,1,2,1,Winn,1,1,Draw,L Mason,11,5,6,3,9,6,2,7,2,1,0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
16,Fulham_Bolton_2006,1,2006-08-23,2006,15,1,1,Draw,0,0,Draw,A Wiley,11,4,4,1,9,16,1,6,0,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
