,idGame,nWeek,Date,year,IdTeam,FTG_asH,FT_against_H,FT_RESULT,HTG_asH,HT_against_H,HT_RESULT,Referee,Shoot_asH,Shoot_against_H,ShootTarget_asH,ShootTarget_against_H,Fouls_asH,Fouls_against_H,Corner_asH,Corner_against_H,YellowC_asH,YellowC_against_H,RedC_asH,RedC_againts_H,nWeekHome,Shoot_asH_last_3,Shoot_asH_last_6,Shoot_asH_last_10,Shoot_asH_last_infinity,ShootTarget_asH_last_3,ShootTarget_asH_last_6,ShootTarget_asH_last_10,ShootTarget_asH_last_infinity,Fouls_asH_last_3,Fouls_asH_last_6,Fouls_asH_last_10,Fouls_asH_last_infinity,Corner_asH_last_3,Corner_asH_last_6,Corner_asH_last_10,Corner_asH_last_infinity,FTG_asH_last_3,FTG_asH_last_6,FTG_asH_last_10,FTG_asH_last_infinity,HTG_asH_last_3,HTG_asH_last_6,HTG_asH_last_10,HTG_asH_last_infinity,YellowC_asH_last_3,YellowC_asH_last_6,YellowC_asH_last_10,YellowC_asH_last_infinity,RedC_asH_last_3,RedC_asH_last_6,RedC_asH_last_10,RedC_asH_last_infinity,FT_against_H_last_3,FT_against_H_last_6,FT_against_H_last_10,FT_against_H_last_infinity,HT_against_H_last_3,HT_against_H_last_6,HT_against_H_last_10,HT_against_H_last_infinity,Shoot_against_H_last_3,Shoot_against_H_last_6,Shoot_against_H_last_10,Shoot_against_H_last_infinity,ShootTarget_against_H_last_3,ShootTarget_against_H_last_6,ShootTarget_against_H_last_10,ShootTarget_against_H_last_infinity,Fouls_against_H_last_3,Fouls_against_H_last_6,Fouls_against_H_last_10,Fouls_against_H_last_infinity,Corner_against_H_last_3,Corner_against_H_last_6,Corner_against_H_last_10,Corner_against_H_last_infinity,RedC_againts_H_last_3,RedC_againts_H_last_6,RedC_againts_H_last_10,RedC_againts_H_last_infinity,YellowC_against_H_last_3,YellowC_against_H_last_6,YellowC_against_H_last_10,YellowC_against_H_last_infinity
0,Fulham_Aston Villa_2011,1,2011-08-13,2011,16,0,0,Draw,0,0,Draw,L Mason,13,7,9,1,10,18,2,3,2,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Wigan_Norwich_2011,1,2011-08-13,2011,20,1,1,Draw,1,1,Draw,S Attwell,18,13,11,3,11,8,7,3,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Liverpool_Sunderland_2011,1,2011-08-13,2011,10,1,1,Draw,1,0,Winn,P Dowd,11,15,4,6,17,12,6,3,4,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Newcastle_Arsenal_2011,1,2011-08-13,2011,9,0,0,Draw,0,0,Draw,P Walton,6,9,1,4,9,11,2,5,3,5,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,QPR_Bolton_2011,1,2011-08-13,2011,32,0,4,Lost,0,1,Lost,M Atkinson,13,13,7,7,9,16,3,2,1,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Blackburn_Wolves_2011,1,2011-08-13,2011,33,1,2,Lost,1,1,Draw,K Friend,16,13,8,4,14,10,12,6,4,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Stoke_Chelsea_2011,1,2011-08-14,2011,22,0,0,Draw,0,0,Draw,M Halsey,6,20,3,11,12,12,4,6,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,West Brom_Man United_2011,1,2011-08-14,2011,7,1,2,Lost,1,1,Draw,M Jones,14,11,8,5,16,9,6,5,3,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Man City_Swansea_2011,1,2011-08-15,2011,3,4,0,Winn,0,0,Draw,M Dean,26,8,19,5,9,2,7,4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sunderland_Newcastle_2011,2,2011-08-20,2011,38,0,1,Lost,0,0,Draw,H Webb,15,12,5,10,17,7,7,6,3,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Arsenal_Liverpool_2011,2,2011-08-20,2011,31,0,2,Lost,0,0,Draw,M Atkinson,10,13,6,8,11,6,9,5,2,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Swansea_Wigan_2011,2,2011-08-20,2011,0,0,0,Draw,0,0,Draw,P Dowd,12,10,6,4,8,18,7,7,0,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Everton_QPR_2011,1,2011-08-20,2011,8,0,1,Lost,0,1,Lost,K Friend,14,4,7,3,12,9,2,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aston Villa_Blackburn_2011,2,2011-08-20,2011,21,3,1,Winn,2,0,Winn,S Attwell,9,10,6,6,9,13,5,4,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Chelsea_West Brom_2011,2,2011-08-20,2011,30,2,1,Winn,0,1,Lost,L Mason,22,6,12,4,12,8,7,4,2,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Wolves_Fulham_2011,2,2011-08-21,2011,4,2,0,Winn,2,0,Winn,M Dean,17,8,7,4,7,10,7,8,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bolton_Man City_2011,2,2011-08-21,2011,23,2,3,Lost,1,2,Lost,M Jones,6,17,4,9,19,14,7,8,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Norwich_Stoke_2011,2,2011-08-21,2011,14,1,1,Draw,1,0,Winn,N Swarbrick,9,15,7,5,13,12,3,6,0,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Man United_Tottenham_2011,2,2011-08-22,2011,13,3,0,Winn,0,0,Draw,L Probert,27,20,21,12,12,9,11,3,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Aston Villa_Wolves_2011,3,2011-08-27,2011,21,0,0,Draw,0,0,Draw,M Atkinson,15,3,5,2,10,9,11,8,1,3,0,0,2,,,,9.0,,,,6.0,,,,9.0,,,,5.0,,,,3.0,,,,2.0,,,,3.0,,,,0.0,,,,1.0,,,,0.0,,,,10.0,,,,6.0,,,,13.0,,,,4.0,,,,0.0,,,,0.0
20,Wigan_QPR_2011,3,2011-08-27,2011,20,2,0,Winn,1,0,Winn,M Oliver,13,19,10,9,13,8,8,7,2,0,0,0,2,,,,18.0,,,,11.0,,,,11.0,,,,7.0,,,,1.0,,,,1.0,,,,2.0,,,,0.0,,,,1.0,,,,1.0,,,,13.0,,,,3.0,,,,8.0,,,,3.0,,,,0.0,,,,2.0
21,Blackburn_Everton_2011,3,2011-08-27,2011,33,0,1,Lost,0,0,Draw,L Mason,14,9,6,4,17,13,5,4,5,2,0,0,2,,,,16.0,,,,8.0,,,,14.0,,,,12.0,,,,1.0,,,,1.0,,,,4.0,,,,0.0,,,,2.0,,,,1.0,,,,13.0,,,,4.0,,,,10.0,,,,6.0,,,,0.0,,,,2.0
